"Class=poisonous" "CapShape=convex" "CapSurf=smooth" "CapColor=brown" "Bruises=bruises" "Odor=pungent" "GillAttached=free" "GillSpace=close" "GillSize=narrow" "GillColor=black" "StalkShape=enlarging" "StalkRoot=equal" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Habitat=urban"
"Class=edible" "CapShape=convex" "CapSurf=smooth" "CapColor=yellow" "Bruises=bruises" "Odor=almond" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=black" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=brown" "Population=brown" "Habitat=grasses"
"Class=edible" "CapShape=bell" "CapSurf=smooth" "CapColor=white" "Bruises=bruises" "Odor=anise" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=brown" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=brown" "Population=brown" "Habitat=meadows"
"Class=poisonous" "CapShape=convex" "CapSurf=scaly" "CapColor=white" "Bruises=bruises" "Odor=pungent" "GillAttached=free" "GillSpace=close" "GillSize=narrow" "GillColor=brown" "StalkShape=enlarging" "StalkRoot=equal" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Habitat=urban"
"Class=edible" "CapShape=convex" "CapSurf=smooth" "CapColor=gray" "Bruises=no" "Odor=none" "GillAttached=free" "GillSpace=crowded" "GillSize=broad" "GillColor=black" "StalkShape=tapering" "StalkRoot=equal" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=evanescent" "Spore=brown" "Habitat=grasses"
"Class=edible" "CapShape=convex" "CapSurf=scaly" "CapColor=yellow" "Bruises=bruises" "Odor=almond" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=brown" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Population=brown" "Habitat=grasses"
"Class=edible" "CapShape=bell" "CapSurf=smooth" "CapColor=white" "Bruises=bruises" "Odor=almond" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=gray" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Population=brown" "Habitat=meadows"
"Class=edible" "CapShape=bell" "CapSurf=scaly" "CapColor=white" "Bruises=bruises" "Odor=anise" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=brown" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=brown" "Habitat=meadows"
"Class=poisonous" "CapShape=convex" "CapSurf=scaly" "CapColor=white" "Bruises=bruises" "Odor=pungent" "GillAttached=free" "GillSpace=close" "GillSize=narrow" "GillColor=pink" "StalkShape=enlarging" "StalkRoot=equal" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Habitat=grasses"
"Class=edible" "CapShape=bell" "CapSurf=smooth" "CapColor=yellow" "Bruises=bruises" "Odor=almond" "GillAttached=free" "GillSpace=close" "GillSize=broad" "GillColor=gray" "StalkShape=enlarging" "StalkRoot=club" "SurfaceAboveRing=smooth" "SurfaceBelowRing=smooth" "ColorAboveRing=white" "ColorBelowRing=white" "VeilType=partial" "VeilColor=white" "RingNumber=one" "RingType=pendant" "Spore=black" "Habitat=meadows"
